,date,low,high,open,close,volume
783,2020-02-02 16:00:00,191.19,193.27,192.79,191.24,4394.55797598
784,2020-02-02 17:00:00,190.65,192.0,191.22,191.32,3380.80158562
785,2020-02-02 18:00:00,191.08,192.61,191.23,191.69,3329.63838132
786,2020-02-02 19:00:00,191.3,192.61,191.69,191.44,2865.3012732
787,2020-02-02 20:00:00,191.08,192.4,191.44,192.27,3279.13665881
788,2020-02-02 21:00:00,191.58,192.41,192.28,191.59,2585.38507494
789,2020-02-02 22:00:00,189.1,191.59,191.58,189.33,5468.88316973
790,2020-02-02 23:00:00,187.82,189.56,189.22,188.29,6213.47729347
791,2020-02-03 00:00:00,187.0,191.91,188.22,191.56,6266.27693316
792,2020-02-03 01:00:00,190.86,195.21,191.52,192.3,12507.63952013
793,2020-02-03 02:00:00,188.75,192.58,192.27,190.0,8134.70014698
794,2020-02-03 03:00:00,189.5,191.31,190.04,191.15,2558.61080571
795,2020-02-03 04:00:00,190.22,191.5,191.15,190.55,1500.75844124
796,2020-02-03 05:00:00,190.27,191.94,190.62,191.07,2247.59645389
797,2020-02-03 06:00:00,190.65,191.5,191.09,190.83,978.82554701
798,2020-02-03 07:00:00,189.16,190.83,190.81,189.7,2980.17097497
799,2020-02-03 08:00:00,189.33,190.48,189.7,189.76,1900.47472719
800,2020-02-03 09:00:00,188.2,189.79,189.72,188.37,1941.20077991
801,2020-02-03 10:00:00,187.32,188.43,188.36,187.65,3526.50639643
802,2020-02-03 11:00:00,187.2,190.16,187.61,189.4,2980.14335676
803,2020-02-03 12:00:00,188.96,190.43,189.46,189.43,1491.11018691
804,2020-02-03 13:00:00,187.47,189.79,189.44,188.3,2807.95122298
805,2020-02-03 14:00:00,187.62,189.5,188.34,189.2,4884.27288752
806,2020-02-03 15:00:00,186.66,189.22,189.2,187.12,5770.80006519
807,2020-02-03 16:00:00,186.25,189.17,187.12,187.47,5047.75161034
808,2020-02-03 17:00:00,186.7,188.5,187.47,188.5,2048.9176498
809,2020-02-03 18:00:00,187.54,189.39,188.49,189.39,2050.55652363
810,2020-02-03 19:00:00,188.78,189.78,189.38,189.78,3157.66494763
811,2020-02-03 20:00:00,189.89,191.63,189.91,190.24,6960.50937606
812,2020-02-03 21:00:00,188.78,190.49,190.25,189.35,2048.52642822
813,2020-02-03 22:00:00,189.07,190.44,189.35,189.08,2340.3529994
814,2020-02-03 23:00:00,187.89,190.15,189.11,189.42,2961.87797516
815,2020-02-04 00:00:00,189.36,191.37,189.41,190.59,5262.94769197
816,2020-02-04 01:00:00,189.01,191.27,190.59,189.04,2823.0686604
817,2020-02-04 02:00:00,189.0,190.36,189.03,189.68,2479.62868429
818,2020-02-04 03:00:00,187.6,189.79,189.69,187.74,3954.94165323
819,2020-02-04 04:00:00,186.51,188.7,187.73,186.78,5107.31950258
820,2020-02-04 05:00:00,185.81,187.72,186.76,187.72,4290.19509538
821,2020-02-04 06:00:00,187.14,188.12,187.73,187.7,2166.87564759
822,2020-02-04 07:00:00,187.52,188.77,187.71,187.93,1731.3231221
823,2020-02-04 08:00:00,186.55,188.18,188.01,186.59,1611.4150486
824,2020-02-04 09:00:00,184.78,187.37,186.54,185.17,4374.08099346
825,2020-02-04 10:00:00,184.38,186.0,185.16,185.2,1611.44293197
826,2020-02-04 11:00:00,184.52,187.69,185.2,186.52,2516.24374997
827,2020-02-04 12:00:00,184.29,186.79,186.51,185.19,7132.22180975
828,2020-02-04 13:00:00,184.5,185.6,185.19,185.42,2247.00767907
829,2020-02-04 14:00:00,184.49,186.38,185.49,186.38,3550.65766354
830,2020-02-04 15:00:00,186.1,188.3,186.34,188.01,4933.8376122
831,2020-02-04 16:00:00,187.4,189.3,187.99,188.76,6220.98583675
